Sri Lanka (República Democrática Socialist,0,0,44837,57254,61092,71550,152771,186076,31805,42940,151664,200288,256499,214704,381971,286272,255118,194256,236068,184344,193748,165615,144442,131267,84339,78447,63312,68690,70376,78503,72080,80403,46918,50087,63985,77964,39195,47758
Bermudas,390036,424483,335595,422379,495938,547823,59821,63921,109116,164663,115021,186781,822512,419029,380250,472380,404970,478911,162100,155259,120371,138524,111255,130649,110221,120436,121530,131887,77738,74251,468498,464800,361400,374880,340200,357840,306600,349320
Croacia,1084396,1374547,1201426,1617164,1773071,1922716,1194222,1619760,1070871,1446823,759460,1120107,331951,473268,369384,435320,274504,326707,343908,410511,296176,314286,280090,311850,77490,74844,25437,24948,0,0,0,0,0,0,0,0,0,0
Islas Caimán,714353,790817,441229,604216,755054,857421,187698,252876,124752,193624,165500,367995,905403,335947,354039,443319,325597,384997,97972,101621,108736,115174,58905,64425,99405,108953,37788,40487,78005,80190,412234,414668,335248,343901,312885,329110,264265,304432
Marruecos (Reino de),389148,435798,105900,150292,584637,719258,794931,1135784,854107,1209771,226435,310400,397365,564364,310799,380818,314164,366837,233890,282182,24420,28218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hungria (República de ),737188,930878,628097,809314,878231,976835,682459,912398,547632,772781,403953,552700,232635,323896,286040,335983,373560,430138,407859,488298,482625,521233,439745,480911,464379,451392,383228,367899,412831,412140,381732,382702,289924,353263,233552,284574,270803,329966
Indonesia (República de),2663184,2944426,1312773,1709376,3054364,3525950,2358425,2943165,479946,686959,1002108,1559262,1564526,1587744,278199,257644,0,0,0,0,0,0,0,0,168503,196257,515588,560996,387065,431766,400741,447028,393121,480831,336090,409513,225713,275023
Bahamas (Comunidad de las),322546,367007,249737,332467,590651,676152,61002,85268,181070,248747,77604,119314,1152417,405703,272671,351806,322876,382449,239681,238336,176547,197268,134076,152750,140757,166592,134547,166217,65086,82341,346906,410850,262934,331792,318158,394441,298022,383402
Filipinas (República de),133534,149969,57607,70539,568069,657119,486828,616916,166990,230347,271903,342810,369433,417820,271672,196215,309118,229017,255917,172938,75366,37496,51739,28899,0,0,0,0,0,0,0,0,0,0,0,0,29276,35672
Bosnia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242377,283272,216500,256417,333796,399349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maldivas (República de),6643,7156,34999,42906,55832,64377,7305,8588,61251,82814,96914,128208,172960,119620,242065,165628,103677,73612,168475,119620,103679,73612,117388,99811,100509,88315,118130,126894,70376,78503,52782,58877,23947,29177,32214,39251,39163,47718
Guyana (República Cooperativa de),437316,439367,180227,210512,512784,592276,1232519,1563496,333037,486653,445943,572262,296507,300568,231011,209506,239399,214704,273522,241899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8165,9369,7725,9369
República Checa,950547,1186218,930034,1151307,902385,1024674,430777,581251,508645,715058,307170,444764,276470,391422,227855,269905,170854,202435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sudáfrica (República de),28939292,32002996,19049169,25245190,51976138,60889857,14113964,20363780,10751191,15070827,2445601,3457488,1119575,1548785,217831,272289,592467,677968,351005,408958,325027,357840,254373,297561,110208,106444,113825,109272,179119,134552,39152,39251,48321,58877,8053,9813,29276,35672
Trinidad y Tobago (República de),119944,125968,183077,246423,276454,314728,139365,171047,94423,157040,109176,189980,80406,128208,214501,259121,152993,181821,23805,25585,15012,18662,15012,18662,16320,20448,13092,16876,0,0,84825,101787,51408,67858,94248,124407,44280,58450
Chipre(República de),988454,677220,197010,272759,336781,397509,378562,509870,280553,399911,264578,386364,333856,457251,207120,243305,339651,400780,501644,557429,656414,700454,4582509,5157025,4459304,4304266,4610476,4431794,3008422,3008111,2358481,2368776,86012,97289,26918,29034,43579,45570
Martinica,121232,124528,10459,15336,51943,65425,33975,44977,22705,36806,25402,36806,13293,18403,203968,244762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fidji (islas),23632,30024,70646,100893,95791,114321,99852,128796,0,0,136865,157449,575029,355786,195286,114500,436789,286272,345235,214704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anguila,170217,180351,227876,288802,204315,240468,73754,101626,43878,73612,34750,59980,23004,27604,184021,220838,62422,73612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aruba,346786,368010,80158,101294,411798,486261,37440,37096,46511,60046,98670,153609,149591,203691,179831,208110,191669,214433,111725,107201,74094,80760,48994,60518,44121,50606,56545,60626,59483,68637,214498,228975,212531,236737,236888,271887,178432,204090
Eslovenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179637,211628,131593,155183,115999,140477,86305,97025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordania (Reino Hachemita de),248153,270518,329791,464109,340668,418366,166237,244762,149345,214704,135106,200288,122286,171763,175913,214704,158851,186076,151832,179651,156232,162162,54172,62370,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bulgaria (República de),871943,1052569,767656,944288,1169731,1279968,890105,1175223,576279,834031,302917,445357,375073,553322,166383,202435,159120,188939,158092,188939,161015,175443,292076,341066,101430,99792,51109,49064,0,0,0,0,21672,24520,0,0,0,0
Turcas y Caicos Islas,309493,330644,67821,90175,280451,313498,83985,114906,36293,64411,99866,176193,386899,185254,158095,195678,124891,147836,32130,34437,10655,9812,0,0,0,0,0,0,0,0,281504,314012,201338,245322,249659,304200,241527,294294
Bielorusia,755908,672739,232509,286272,164411,198959,1300329,1774349,864328,1238279,596889,827368,335274,486628,144687,171047,36245,42940,12262,14313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Azerbaijan,146908,165322,99994,150292,94546,119518,320674,458716,163938,226836,74429,99215,83187,128822,144168,171763,60270,71568,81137,98763,49356,49896,97617,106943,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania (República Popular Socialista de ),416003,480936,355722,470985,783266,971101,657281,883259,757668,1013402,415559,594193,431625,558230,127670,157389,642797,735047,559249,670380,729693,759814,738924,819103,513904,506286,688031,673617,0,0,0,0,0,0,0,0,0,0
Georgia,338765,375501,211313,297595,279995,345673,495815,695640,277802,384720,334131,485427,225594,329212,120674,143136,134740,157449,104538,128106,49490,49896,46640,49896,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Curazao,42969,46080,42770,59231,20326,20993,62536,80977,52071,82926,55614,94928,101137,142679,117974,135022,156684,177244,69350,74589,14354,15108,0,0,0,0,7800,10224,0,0,0,0,0,0,0,0,0,0
Kazakhstan,1251743,405739,315157,386467,226429,276252,386516,529603,384765,527831,355781,458035,487234,729985,117278,143136,192227,229017,212929,256929,140974,150393,111337,119750,363888,359251,0,0,0,0,0,0,0,0,0,0,0,0
República de Serbia,507434,613601,206254,292653,508026,588433,292521,388597,89728,126999,157459,228301,138481,197416,73056,85830,72466,85881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Armenia,0,0,0,0,0,0,74484,101618,50587,70826,254451,372153,28209,42940,61616,71499,36410,42940,34231,40385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Islas Vírgenes Británicas,218658,249090,312359,435849,430350,510058,97585,120234,21297,34966,42842,74976,8617,14995,58980,74635,27084,34966,56193,56913,49890,53471,21019,21282,29841,30885,6739,7361,6739,7361,0,0,0,0,0,0,0,0
Kenya (República de),54787,60117,28492,45087,58544,74430,19895,28627,20841,28627,9483,14313,19347,28627,50062,57254,72968,85881,35853,42940,64829,71568,48785,57254,41328,39916,0,0,0,0,0,0,0,0,0,0,0,0
Ghana (República de),13332,15029,10375,15029,5666,7156,47390,65825,0,0,0,0,9337,14313,49998,57254,35483,42940,11928,14313,38673,42940,26318,26611,13776,13305,0,0,0,0,0,0,0,0,0,0,0,0
Islandia (República de),123445,147225,118839,160721,97604,116597,115709,141335,121264,172990,94974,141074,41719,56427,49604,56436,83706,98763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lituania,0,0,389202,554925,1101208,1351138,0,0,0,0,0,0,0,0,48856,56436,0,0,22824,28218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barbados,108209,111884,82127,106150,73320,83325,0,0,15670,27604,24908,46016,119524,46008,38337,46008,46547,55209,26573,28627,0,0,0,0,0,0,0,0,0,0,61579,68690,96643,117754,64428,78503,21931,26722
Gibraltar,41548,45087,10018,15029,48380,59401,29878,42940,30916,42940,35580,56896,17579,28627,36032,42940,36933,42940,35407,42940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Costa de Marfil,109617,120234,28158,45087,36422,45087,21404,29342,29179,39362,21267,28627,44457,57254,36004,42940,24232,28627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oman (sultanato de),0,0,0,0,80766,100195,179622,257644,113117,157441,141401,213962,136844,200381,31942,42821,121222,143136,176699,214704,91370,100195,73252,85813,0,0,0,0,0,0,8613,9708,0,0,19602,18816,0,0
Jamaica,0,0,0,0,71999,81783,17790,24537,15226,23310,14825,25866,133713,34966,25048,30058,9712,11655,9712,11655,0,0,0,0,0,0,0,0,0,0,57136,68563,52038,68690,74340,98129,67560,89180
